,Unnamed: 0,height,img_name,label,left,top,width,bottom,right
0,0,219.0,1.png,1.0,246.0,77.0,81.0,296.0,327.0
1,1,219.0,1.png,9.0,323.0,81.0,96.0,300.0,419.0
2,0,32.0,2.png,2.0,77.0,29.0,23.0,61.0,100.0
3,1,32.0,2.png,3.0,98.0,25.0,26.0,57.0,124.0
4,0,15.0,3.png,2.0,17.0,5.0,8.0,20.0,25.0
5,1,15.0,3.png,5.0,25.0,5.0,9.0,20.0,34.0
6,0,34.0,4.png,9.0,57.0,13.0,15.0,47.0,72.0
7,1,34.0,4.png,3.0,72.0,13.0,13.0,47.0,85.0
8,0,46.0,5.png,3.0,52.0,7.0,21.0,53.0,73.0
9,1,46.0,5.png,1.0,74.0,10.0,15.0,56.0,89.0
10,0,21.0,6.png,3.0,28.0,6.0,10.0,27.0,38.0
11,1,21.0,6.png,3.0,38.0,8.0,11.0,29.0,49.0
12,0,32.0,7.png,2.0,35.0,10.0,13.0,42.0,48.0
13,1,32.0,7.png,8.0,47.0,11.0,13.0,43.0,60.0
14,0,15.0,8.png,7.0,17.0,4.0,7.0,19.0,24.0
15,1,15.0,8.png,4.0,25.0,4.0,6.0,19.0,31.0
16,2,15.0,8.png,4.0,31.0,3.0,7.0,18.0,38.0
17,0,24.0,9.png,1.0,19.0,4.0,14.0,28.0,33.0
18,1,24.0,9.png,2.0,29.0,4.0,13.0,28.0,42.0
19,2,24.0,9.png,8.0,38.0,5.0,17.0,29.0,55.0
20,0,27.0,10.png,1.0,25.0,6.0,9.0,33.0,34.0
21,1,27.0,10.png,6.0,34.0,4.0,14.0,31.0,48.0
22,0,26.0,11.png,2.0,22.0,5.0,12.0,31.0,34.0
23,1,26.0,11.png,3.0,33.0,4.0,9.0,30.0,42.0
24,0,55.0,12.png,6.0,67.0,16.0,23.0,71.0,90.0
25,1,55.0,12.png,3.0,90.0,17.0,20.0,72.0,110.0
26,0,33.0,13.png,4.0,44.0,12.0,17.0,45.0,61.0
27,1,33.0,13.png,2.0,63.0,13.0,18.0,46.0,81.0
28,0,42.0,14.png,5.0,35.0,2.0,21.0,44.0,56.0
29,1,42.0,14.png,8.0,55.0,2.0,23.0,44.0,78.0
30,0,20.0,15.png,1.0,22.0,8.0,14.0,28.0,36.0
31,1,20.0,15.png,6.0,33.0,7.0,10.0,27.0,43.0
32,0,19.0,16.png,2.0,20.0,3.0,7.0,22.0,27.0
33,1,19.0,16.png,3.0,26.0,1.0,7.0,20.0,33.0
34,0,22.0,17.png,7.0,23.0,4.0,14.0,26.0,37.0
35,1,22.0,17.png,9.0,35.0,4.0,12.0,26.0,47.0
36,0,41.0,18.png,5.0,52.0,12.0,28.0,53.0,80.0
37,1,41.0,18.png,3.0,80.0,17.0,21.0,58.0,101.0
38,0,19.0,19.png,2.0,19.0,1.0,7.0,20.0,26.0
39,1,19.0,19.png,2.0,28.0,1.0,7.0,20.0,35.0
40,2,19.0,19.png,2.0,36.0,1.0,7.0,20.0,43.0
41,0,24.0,20.png,6.0,20.0,2.0,11.0,26.0,31.0
42,1,24.0,20.png,2.0,32.0,1.0,11.0,25.0,43.0
43,0,85.0,21.png,2.0,72.0,6.0,52.0,91.0,124.0
44,0,16.0,22.png,5.0,24.0,4.0,10.0,20.0,34.0
45,1,16.0,22.png,1.0,34.0,5.0,7.0,21.0,41.0
46,2,16.0,22.png,5.0,40.0,5.0,11.0,21.0,51.0
47,0,32.0,23.png,4.0,29.0,5.0,21.0,37.0,50.0
48,1,32.0,23.png,7.0,52.0,5.0,22.0,37.0,74.0
49,0,34.0,24.png,8.0,233.0,59.0,19.0,93.0,252.0
